Index	Vgate	Vsource	Vdrain	Vsubs	Idrain	Isubs	IdrainPerWg	IsubsPerWg	gm	gmPerWg
1	 -2.0000 V	 0 V	 10.00 mV	 0 V	 1.569 pA	 -479 fA	 156.9000000 fA/um	 -47.90000000 fA/um	 -21.18000000 pS	 -2.118000000 pS/um
2	 -1.9500 V	 0 V	 10.00 mV	 0 V	 510 fA	 -1.647 pA	 51.00000000 fA/um	 -164.7000000 fA/um	 -10.14000000 pS	 -1.014000000 pS/um
3	 -1.9000 V	 0 V	 10.00 mV	 0 V	 555 fA	 -1.002 pA	 55.50000000 fA/um	 -100.2000000 fA/um	 1.490000000 pS	 149.0000000 fS/um
4	 -1.8500 V	 0 V	 10.00 mV	 0 V	 659 fA	 -1.338 pA	 65.90000000 fA/um	 -133.8000000 fA/um	 -2.390000000 pS	 -239.0000000 fS/um
5	 -1.8000 V	 0 V	 10.00 mV	 0 V	 316 fA	 -1.213 pA	 31.60000000 fA/um	 -121.3000000 fA/um	 -2.630000000 pS	 -263.0000000 fS/um
6	 -1.7500 V	 0 V	 10.00 mV	 0 V	 396 fA	 -898 fA	 39.60000000 fA/um	 -89.80000000 fA/um	 1.030000000 pS	 103.0000000 fS/um
7	 -1.7000 V	 0 V	 10.00 mV	 0 V	 419 fA	 -1.709 pA	 41.90000000 fA/um	 -170.9000000 fA/um	 1.090000000 pS	 109.0000000 fS/um
8	 -1.6500 V	 0 V	 10.00 mV	 0 V	 505 fA	 -1.120 pA	 50.50000000 fA/um	 -112.0000000 fA/um	 1.230000000 pS	 123.0000000 fS/um
9	 -1.6000 V	 0 V	 10.00 mV	 0 V	 542 fA	 -990 fA	 54.20000000 fA/um	 -99.00000000 fA/um	 -3.270000000 pS	 -327.0000000 fS/um
10	 -1.5500 V	 0 V	 10.00 mV	 0 V	 178 fA	 -1.335 pA	 17.80000000 fA/um	 -133.5000000 fA/um	 -1.750000000 pS	 -175.0000000 fS/um
11	 -1.5000 V	 0 V	 10.00 mV	 0 V	 367 fA	 -1.086 pA	 36.70000000 fA/um	 -108.6000000 fA/um	 4.830000000 pS	 483.0000000 fS/um
12	 -1.4500 V	 0 V	 10.00 mV	 0 V	 661 fA	 -917 fA	 66.10000000 fA/um	 -91.70000000 fA/um	 110.0000000 fS	 11.00000000 fS/um
13	 -1.4000 V	 0 V	 10.00 mV	 0 V	 378 fA	 -1.561 pA	 37.80000000 fA/um	 -156.1000000 fA/um	 150.0000000 fS	 15.00000000 fS/um
14	 -1.3500 V	 0 V	 10.00 mV	 0 V	 676 fA	 -1.221 pA	 67.60000000 fA/um	 -122.1000000 fA/um	 150.0000000 fS	 15.00000000 fS/um
15	 -1.3000 V	 0 V	 10.00 mV	 0 V	 393 fA	 -1.121 pA	 39.30000000 fA/um	 -112.1000000 fA/um	 -50.00000000 fS	 -5.000000000 fS/um
16	 -1.2500 V	 0 V	 10.00 mV	 0 V	 671 fA	 -1.280 pA	 67.10000000 fA/um	 -128.0000000 fA/um	 1.970000000 pS	 197.0000000 fS/um
17	 -1.2000 V	 0 V	 10.00 mV	 0 V	 590 fA	 -1.366 pA	 59.00000000 fA/um	 -136.6000000 fA/um	 -2.110000000 pS	 -211.0000000 fS/um
18	 -1.1500 V	 0 V	 10.00 mV	 0 V	 460 fA	 -1.191 pA	 46.00000000 fA/um	 -119.1000000 fA/um	 1.140000000 pS	 114.0000000 fS/um
19	 -1.1000 V	 0 V	 10.00 mV	 0 V	 704 fA	 -1.095 pA	 70.40000000 fA/um	 -109.5000000 fA/um	 -310.0000000 fS	 -31.00000000 fS/um
20	 -1.0500 V	 0 V	 10.00 mV	 0 V	 429 fA	 -1.211 pA	 42.90000000 fA/um	 -121.1000000 fA/um	 -4.240000000 pS	 -424.0000000 fS/um
21	 -1.0000 V	 0 V	 10.00 mV	 0 V	 280 fA	 -1.221 pA	 28.00000000 fA/um	 -122.1000000 fA/um	 -170.0000000 fS	 -17.00000000 fS/um
22	 -950.0 mV	 0 V	 10.00 mV	 0 V	 412 fA	 -1.127 pA	 41.20000000 fA/um	 -112.7000000 fA/um	 -950.0000000 fS	 -95.00000000 fS/um
23	 -900.0 mV	 0 V	 10.00 mV	 0 V	 185 fA	 -1.462 pA	 18.50000000 fA/um	 -146.2000000 fA/um	 -2.350000000 pS	 -235.0000000 fS/um
24	 -850.0 mV	 0 V	 10.00 mV	 0 V	 177 fA	 -1.396 pA	 17.70000000 fA/um	 -139.6000000 fA/um	 1.330000000 pS	 133.0000000 fS/um
25	 -800.0 mV	 0 V	 10.00 mV	 0 V	 318 fA	 -1.103 pA	 31.80000000 fA/um	 -110.3000000 fA/um	 3.210000000 pS	 321.0000000 fS/um
26	 -750.0 mV	 0 V	 10.00 mV	 0 V	 498 fA	 -771 fA	 49.80000000 fA/um	 -77.10000000 fA/um	 -150.0000000 fS	 -15.00000000 fS/um
27	 -700.0 mV	 0 V	 10.00 mV	 0 V	 303 fA	 -1.035 pA	 30.30000000 fA/um	 -103.5000000 fA/um	 780.0000000 fS	 78.00000000 fS/um
28	 -650.0 mV	 0 V	 10.00 mV	 0 V	 576 fA	 -1.421 pA	 57.60000000 fA/um	 -142.1000000 fA/um	 1.140000000 pS	 114.0000000 fS/um
29	 -600.0 mV	 0 V	 10.00 mV	 0 V	 417 fA	 -1.114 pA	 41.70000000 fA/um	 -111.4000000 fA/um	 -1.890000000 pS	 -189.0000000 fS/um
30	 -550.0 mV	 0 V	 10.00 mV	 0 V	 387 fA	 -1.073 pA	 38.70000000 fA/um	 -107.3000000 fA/um	 1.100000000 pS	 110.0000000 fS/um
31	 -500.0 mV	 0 V	 10.00 mV	 0 V	 527 fA	 -1.107 pA	 52.70000000 fA/um	 -110.7000000 fA/um	 1.850000000 pS	 185.0000000 fS/um
32	 -450.0 mV	 0 V	 10.00 mV	 0 V	 572 fA	 -1.059 pA	 57.20000000 fA/um	 -105.9000000 fA/um	 660.0000000 fS	 66.00000000 fS/um
33	 -400.0 mV	 0 V	 10.00 mV	 0 V	 593 fA	 -957 fA	 59.30000000 fA/um	 -95.70000000 fA/um	 -2.360000000 pS	 -236.0000000 fS/um
34	 -350.0 mV	 0 V	 10.00 mV	 0 V	 336 fA	 -1.070 pA	 33.60000000 fA/um	 -107.0000000 fA/um	 -2.430000000 pS	 -243.0000000 fS/um
35	 -300.0 mV	 0 V	 10.00 mV	 0 V	 350 fA	 -1.239 pA	 35.00000000 fA/um	 -123.9000000 fA/um	 650.0000000 fS	 65.00000000 fS/um
36	 -250.0 mV	 0 V	 10.00 mV	 0 V	 401 fA	 -1.581 pA	 40.10000000 fA/um	 -158.1000000 fA/um	 -520.0000000 fS	 -52.00000000 fS/um
37	 -200.0 mV	 0 V	 10.00 mV	 0 V	 298 fA	 -1.104 pA	 29.80000000 fA/um	 -110.4000000 fA/um	 220.0000000 fS	 22.00000000 fS/um
38	 -150.0 mV	 0 V	 10.00 mV	 0 V	 423 fA	 -985 fA	 42.30000000 fA/um	 -98.50000000 fA/um	 1.770000000 pS	 177.0000000 fS/um
39	 -100.0 mV	 0 V	 10.00 mV	 0 V	 475 fA	 -757 fA	 47.50000000 fA/um	 -75.70000000 fA/um	 680.0000000 fS	 68.00000000 fS/um
40	 -50.0 mV	 0 V	 10.00 mV	 0 V	 491 fA	 -1.056 pA	 49.10000000 fA/um	 -105.6000000 fA/um	 -520.0000000 fS	 -52.00000000 fS/um
41	 0 V	 0 V	 10.00 mV	 0 V	 423 fA	 -1.201 pA	 42.30000000 fA/um	 -120.1000000 fA/um	 -160.0000000 fS	 -16.00000000 fS/um
42	 50.0 mV	 0 V	 10.00 mV	 0 V	 475 fA	 -1.480 pA	 47.50000000 fA/um	 -148.0000000 fA/um	 -650.0000000 fS	 -65.00000000 fS/um
43	 100.0 mV	 0 V	 10.00 mV	 0 V	 358 fA	 -1.331 pA	 35.80000000 fA/um	 -133.1000000 fA/um	 -770.0000000 fS	 -77.00000000 fS/um
44	 150.0 mV	 0 V	 10.00 mV	 0 V	 398 fA	 -1.271 pA	 39.80000000 fA/um	 -127.1000000 fA/um	 -90.00000000 fS	 -9.000000000 fS/um
45	 200.0 mV	 0 V	 10.00 mV	 0 V	 349 fA	 -1.249 pA	 34.90000000 fA/um	 -124.9000000 fA/um	 2.510000000 pS	 251.0000000 fS/um
46	 250.0 mV	 0 V	 10.00 mV	 0 V	 649 fA	 -1.642 pA	 64.90000000 fA/um	 -164.2000000 fA/um	 1.370000000 pS	 137.0000000 fS/um
47	 300.0 mV	 0 V	 10.00 mV	 0 V	 486 fA	 -1.607 pA	 48.60000000 fA/um	 -160.7000000 fA/um	 -3.440000000 pS	 -344.0000000 fS/um
48	 350.0 mV	 0 V	 10.00 mV	 0 V	 305 fA	 -1.290 pA	 30.50000000 fA/um	 -129.0000000 fA/um	 170.0000000 fS	 17.00000000 fS/um
49	 400.0 mV	 0 V	 10.00 mV	 0 V	 503 fA	 -1.220 pA	 50.30000000 fA/um	 -122.0000000 fA/um	 2.960000000 pS	 296.0000000 fS/um
50	 450.0 mV	 0 V	 10.00 mV	 0 V	 601 fA	 -848 fA	 60.10000000 fA/um	 -84.80000000 fA/um	 -1.600000000 pS	 -160.0000000 fS/um
51	 500.0 mV	 0 V	 10.00 mV	 0 V	 343 fA	 -1.176 pA	 34.30000000 fA/um	 -117.6000000 fA/um	 -1.960000000 pS	 -196.0000000 fS/um
52	 550.0 mV	 0 V	 10.00 mV	 0 V	 405 fA	 -1.241 pA	 40.50000000 fA/um	 -124.1000000 fA/um	 -190.0000000 fS	 -19.00000000 fS/um
53	 600.0 mV	 0 V	 10.00 mV	 0 V	 324 fA	 -1.192 pA	 32.40000000 fA/um	 -119.2000000 fA/um	 800.0000000 fS	 80.00000000 fS/um
54	 650.0 mV	 0 V	 10.00 mV	 0 V	 485 fA	 -1.203 pA	 48.50000000 fA/um	 -120.3000000 fA/um	 2.580000000 pS	 258.0000000 fS/um
55	 700.0 mV	 0 V	 10.00 mV	 0 V	 582 fA	 -1.184 pA	 58.20000000 fA/um	 -118.4000000 fA/um	 1.880000000 pS	 188.0000000 fS/um
56	 750.0 mV	 0 V	 10.00 mV	 0 V	 673 fA	 -1.193 pA	 67.30000000 fA/um	 -119.3000000 fA/um	 5.570000000 pS	 557.0000000 fS/um
57	 800.0 mV	 0 V	 10.00 mV	 0 V	 1.139 pA	 -1.180 pA	 113.9000000 fA/um	 -118.0000000 fA/um	 17.89000000 pS	 1.789000000 pS/um
58	 850.0 mV	 0 V	 10.00 mV	 0 V	 2.462 pA	 -1.481 pA	 246.2000000 fA/um	 -148.1000000 fA/um	 46.27000000 pS	 4.627000000 pS/um
59	 900.0 mV	 0 V	 10.00 mV	 0 V	 5.766 pA	 -1.143 pA	 576.6000000 fA/um	 -114.3000000 fA/um	 123.4600000 pS	 12.34600000 pS/um
60	 950.0 mV	 0 V	 10.00 mV	 0 V	 14.808 pA	 -1.155 pA	 1.480800000 pA/um	 -115.5000000 fA/um	 340.7800000 pS	 34.07800000 pS/um
61	 1.0000 V	 0 V	 10.00 mV	 0 V	 39.844 pA	 -1.023 pA	 3.984400000 pA/um	 -102.3000000 fA/um	 928.6800000 pS	 92.86800000 pS/um
62	 1.0500 V	 0 V	 10.00 mV	 0 V	 107.676 pA	 -1.157 pA	 10.76760000 pA/um	 -115.7000000 fA/um	 2.473930000 nS	 247.3930000 pS/um
63	 1.1000 V	 0 V	 10.00 mV	 0 V	 287.237 pA	 -1.076 pA	 28.72370000 pA/um	 -107.6000000 fA/um	 6.356140000 nS	 635.6140000 pS/um
64	 1.1500 V	 0 V	 10.00 mV	 0 V	 743.29 pA	 -780 fA	 74.32900000 pA/um	 -78.00000000 fA/um	 17.40793000 nS	 1.740793000 nS/um
65	 1.2000 V	 0 V	 10.00 mV	 0 V	 2.02803 nA	 -1.172 pA	 202.8030000 pA/um	 -117.2000000 fA/um	 42.85210000 nS	 4.285210000 nS/um
66	 1.2500 V	 0 V	 10.00 mV	 0 V	 5.0285 nA	 -934 fA	 502.8500000 pA/um	 -93.40000000 fA/um	 94.46470000 nS	 9.446470000 nS/um
67	 1.3000 V	 0 V	 10.00 mV	 0 V	 11.4745 nA	 -1.179 pA	 1.147450000 nA/um	 -117.9000000 fA/um	 194.8390000 nS	 19.48390000 nS/um
68	 1.3500 V	 0 V	 10.00 mV	 0 V	 24.5124 nA	 -1.330 pA	 2.451240000 nA/um	 -133.0000000 fA/um	 334.1920000 nS	 33.41920000 nS/um
69	 1.4000 V	 0 V	 10.00 mV	 0 V	 44.8937 nA	 -808 fA	 4.489370000 nA/um	 -80.80000000 fA/um	 500.9460000 nS	 50.09460000 nS/um
70	 1.4500 V	 0 V	 10.00 mV	 0 V	 74.607 nA	 -1.099 pA	 7.460700000 nA/um	 -109.9000000 fA/um	 696.0230000 nS	 69.60230000 nS/um
71	 1.5000 V	 0 V	 10.00 mV	 0 V	 114.496 nA	 -1.086 pA	 11.44960000 nA/um	 -108.6000000 fA/um	 895.8200000 nS	 89.58200000 nS/um
72	 1.5500 V	 0 V	 10.00 mV	 0 V	 164.189 nA	 -1.291 pA	 16.41890000 nA/um	 -129.1000000 fA/um	 1.050260000 uS	 105.0260000 nS/um
73	 1.6000 V	 0 V	 10.00 mV	 0 V	 219.522 nA	 -1.636 pA	 21.95220000 nA/um	 -163.6000000 fA/um	 1.182560000 uS	 118.2560000 nS/um
74	 1.6500 V	 0 V	 10.00 mV	 0 V	 282.445 nA	 -1.402 pA	 28.24450000 nA/um	 -140.2000000 fA/um	 1.306650000 uS	 130.6650000 nS/um
75	 1.7000 V	 0 V	 10.00 mV	 0 V	 350.187 nA	 -1.235 pA	 35.01870000 nA/um	 -123.5000000 fA/um	 1.368500000 uS	 136.8500000 nS/um
76	 1.7500 V	 0 V	 10.00 mV	 0 V	 419.295 nA	 -1.667 pA	 41.92950000 nA/um	 -166.7000000 fA/um	 1.423000000 uS	 142.3000000 nS/um
77	 1.8000 V	 0 V	 10.00 mV	 0 V	 492.487 nA	 -2.132 pA	 49.24870000 nA/um	 -213.2000000 fA/um	 1.480290000 uS	 148.0290000 nS/um
78	 1.8500 V	 0 V	 10.00 mV	 0 V	 567.324 nA	 -1.895 pA	 56.73240000 nA/um	 -189.5000000 fA/um	 1.503260000 uS	 150.3260000 nS/um
79	 1.9000 V	 0 V	 10.00 mV	 0 V	 642.813 nA	 -2.083 pA	 64.28130000 nA/um	 -208.3000000 fA/um	 1.536400000 uS	 153.6400000 nS/um
80	 1.9500 V	 0 V	 10.00 mV	 0 V	 720.964 nA	 -2.218 pA	 72.09640000 nA/um	 -221.8000000 fA/um	 1.564840000 uS	 156.4840000 nS/um
81	 2.0000 V	 0 V	 10.00 mV	 0 V	 799.297 nA	 -2.610 pA	 79.92970000 nA/um	 -261.0000000 fA/um	 1.565130000 uS	 156.5130000 nS/um
82	 2.0500 V	 0 V	 10.00 mV	 0 V	 877.477 nA	 -2.211 pA	 87.74770000 nA/um	 -221.1000000 fA/um	 1.600320000 uS	 160.0320000 nS/um
83	 2.1000 V	 0 V	 10.00 mV	 0 V	 959.329 nA	 -1.953 pA	 95.93290000 nA/um	 -195.3000000 fA/um	 1.600570000 uS	 160.0570000 nS/um
84	 2.1500 V	 0 V	 10.00 mV	 0 V	 1.037534 uA	 -2.109 pA	 103.7534000 nA/um	 -210.9000000 fA/um	 1.556010000 uS	 155.6010000 nS/um
85	 2.2000 V	 0 V	 10.00 mV	 0 V	 1.11493 uA	 -1.578 pA	 111.4930000 nA/um	 -157.8000000 fA/um	 1.592760000 uS	 159.2760000 nS/um
86	 2.2500 V	 0 V	 10.00 mV	 0 V	 1.19681 uA	 -1.965 pA	 119.6810000 nA/um	 -196.5000000 fA/um	 1.620600000 uS	 162.0600000 nS/um
87	 2.3000 V	 0 V	 10.00 mV	 0 V	 1.27699 uA	 -1.624 pA	 127.6990000 nA/um	 -162.4000000 fA/um	 1.603700000 uS	 160.3700000 nS/um
88	 2.3500 V	 0 V	 10.00 mV	 0 V	 1.35718 uA	 -2.296 pA	 135.7180000 nA/um	 -229.6000000 fA/um	 1.600200000 uS	 160.0200000 nS/um
89	 2.4000 V	 0 V	 10.00 mV	 0 V	 1.43701 uA	 -2.341 pA	 143.7010000 nA/um	 -234.1000000 fA/um	 1.596300000 uS	 159.6300000 nS/um
90	 2.4500 V	 0 V	 10.00 mV	 0 V	 1.51681 uA	 -2.120 pA	 151.6810000 nA/um	 -212.0000000 fA/um	 1.593800000 uS	 159.3800000 nS/um
91	 2.5000 V	 0 V	 10.00 mV	 0 V	 1.59639 uA	 -2.344 pA	 159.6390000 nA/um	 -234.4000000 fA/um	 1.582200000 uS	 158.2200000 nS/um
92	 2.5500 V	 0 V	 10.00 mV	 0 V	 1.67503 uA	 -2.394 pA	 167.5030000 nA/um	 -239.4000000 fA/um	 1.564800000 uS	 156.4800000 nS/um
93	 2.6000 V	 0 V	 10.00 mV	 0 V	 1.75287 uA	 -1.889 pA	 175.2870000 nA/um	 -188.9000000 fA/um	 1.572100000 uS	 157.2100000 nS/um
94	 2.6500 V	 0 V	 10.00 mV	 0 V	 1.83224 uA	 -2.345 pA	 183.2240000 nA/um	 -234.5000000 fA/um	 1.567700000 uS	 156.7700000 nS/um
95	 2.7000 V	 0 V	 10.00 mV	 0 V	 1.90964 uA	 -2.170 pA	 190.9640000 nA/um	 -217.0000000 fA/um	 1.548100000 uS	 154.8100000 nS/um
96	 2.7500 V	 0 V	 10.00 mV	 0 V	 1.98705 uA	 -2.521 pA	 198.7050000 nA/um	 -252.1000000 fA/um	 1.535000000 uS	 153.5000000 nS/um
97	 2.8000 V	 0 V	 10.00 mV	 0 V	 2.06314 uA	 -2.357 pA	 206.3140000 nA/um	 -235.7000000 fA/um	 1.532000000 uS	 153.2000000 nS/um
98	 2.8500 V	 0 V	 10.00 mV	 0 V	 2.14025 uA	 -1.766 pA	 214.0250000 nA/um	 -176.6000000 fA/um	 1.503300000 uS	 150.3300000 nS/um
99	 2.9000 V	 0 V	 10.00 mV	 0 V	 2.21347 uA	 -1.494 pA	 221.3470000 nA/um	 -149.4000000 fA/um	 1.500000000 uS	 150.0000000 nS/um
100	 2.9500 V	 0 V	 10.00 mV	 0 V	 2.29025 uA	 -803 fA	 229.0250000 nA/um	 -80.30000000 fA/um	 1.520000000 uS	 152.0000000 nS/um
101	 3.0000 V	 0 V	 10.00 mV	 0 V	 2.36547 uA	 -1.822 pA	 236.5470000 nA/um	 -182.2000000 fA/um	 1.472700000 uS	 147.2700000 nS/um
102	 3.0500 V	 0 V	 10.00 mV	 0 V	 2.43752 uA	 -2.198 pA	 243.7520000 nA/um	 -219.8000000 fA/um	 1.451000000 uS	 145.1000000 nS/um
103	 3.1000 V	 0 V	 10.00 mV	 0 V	 2.51057 uA	 -1.824 pA	 251.0570000 nA/um	 -182.4000000 fA/um	 1.480000000 uS	 148.0000000 nS/um
104	 3.1500 V	 0 V	 10.00 mV	 0 V	 2.58552 uA	 -2.309 pA	 258.5520000 nA/um	 -230.9000000 fA/um	 1.462500000 uS	 146.2500000 nS/um
105	 3.2000 V	 0 V	 10.00 mV	 0 V	 2.65682 uA	 -1.797 pA	 265.6820000 nA/um	 -179.7000000 fA/um	 1.430000000 uS	 143.0000000 nS/um
106	 3.2500 V	 0 V	 10.00 mV	 0 V	 2.72852 uA	 -2.069 pA	 272.8520000 nA/um	 -206.9000000 fA/um	 1.421500000 uS	 142.1500000 nS/um
107	 3.3000 V	 0 V	 10.00 mV	 0 V	 2.79897 uA	 -2.205 pA	 279.8970000 nA/um	 -220.5000000 fA/um	 1.400500000 uS	 140.0500000 nS/um
108	 3.3500 V	 0 V	 10.00 mV	 0 V	 2.86857 uA	 -1.201 pA	 286.8570000 nA/um	 -120.1000000 fA/um	 1.357500000 uS	 135.7500000 nS/um
109	 3.4000 V	 0 V	 10.00 mV	 0 V	 2.93472 uA	 -1.950 pA	 293.4720000 nA/um	 -195.0000000 fA/um	 1.342400000 uS	 134.2400000 nS/um
110	 3.4500 V	 0 V	 10.00 mV	 0 V	 3.00281 uA	 -2.038 pA	 300.2810000 nA/um	 -203.8000000 fA/um	 1.379400000 uS	 137.9400000 nS/um
111	 3.5000 V	 0 V	 10.00 mV	 0 V	 3.07266 uA	 -2.318 pA	 307.2660000 nA/um	 -231.8000000 fA/um	 1.356000000 uS	 135.6000000 nS/um
112	 3.5500 V	 0 V	 10.00 mV	 0 V	 3.13841 uA	 -2.020 pA	 313.8410000 nA/um	 -202.0000000 fA/um	 1.306600000 uS	 130.6600000 nS/um
113	 3.6000 V	 0 V	 10.00 mV	 0 V	 3.20332 uA	 -1.858 pA	 320.3320000 nA/um	 -185.8000000 fA/um	 1.317200000 uS	 131.7200000 nS/um
114	 3.6500 V	 0 V	 10.00 mV	 0 V	 3.27013 uA	 -1.597 pA	 327.0130000 nA/um	 -159.7000000 fA/um	 1.299300000 uS	 129.9300000 nS/um
115	 3.7000 V	 0 V	 10.00 mV	 0 V	 3.33325 uA	 -1.927 pA	 333.3250000 nA/um	 -192.7000000 fA/um	 1.267500000 uS	 126.7500000 nS/um
116	 3.7500 V	 0 V	 10.00 mV	 0 V	 3.39688 uA	 -1.948 pA	 339.6880000 nA/um	 -194.8000000 fA/um	 1.279600000 uS	 127.9600000 nS/um
117	 3.8000 V	 0 V	 10.00 mV	 0 V	 3.46121 uA	 -1.822 pA	 346.1210000 nA/um	 -182.2000000 fA/um	 1.278500000 uS	 127.8500000 nS/um
118	 3.8500 V	 0 V	 10.00 mV	 0 V	 3.52473 uA	 -1.904 pA	 352.4730000 nA/um	 -190.4000000 fA/um	 1.246600000 uS	 124.6600000 nS/um
119	 3.9000 V	 0 V	 10.00 mV	 0 V	 3.58587 uA	 -1.812 pA	 358.5870000 nA/um	 -181.2000000 fA/um	 1.219400000 uS	 121.9400000 nS/um
120	 3.9500 V	 0 V	 10.00 mV	 0 V	 3.64667 uA	 -1.979 pA	 364.6670000 nA/um	 -197.9000000 fA/um	 1.201300000 uS	 120.1300000 nS/um
121	 4.0000 V	 0 V	 10.00 mV	 0 V	 3.70600 uA	 -1.810 pA	 370.6000000 nA/um	 -181.0000000 fA/um	 1.181400000 uS	 118.1400000 nS/um
122	 4.0500 V	 0 V	 10.00 mV	 0 V	 3.76481 uA	 -1.807 pA	 376.4810000 nA/um	 -180.7000000 fA/um	 1.180900000 uS	 118.0900000 nS/um
123	 4.1000 V	 0 V	 10.00 mV	 0 V	 3.82409 uA	 -2.079 pA	 382.4090000 nA/um	 -207.9000000 fA/um	 1.176400000 uS	 117.6400000 nS/um
124	 4.1500 V	 0 V	 10.00 mV	 0 V	 3.88245 uA	 -2.133 pA	 388.2450000 nA/um	 -213.3000000 fA/um	 1.156700000 uS	 115.6700000 nS/um
125	 4.2000 V	 0 V	 10.00 mV	 0 V	 3.93976 uA	 -1.866 pA	 393.9760000 nA/um	 -186.6000000 fA/um	 1.103800000 uS	 110.3800000 nS/um
126	 4.2500 V	 0 V	 10.00 mV	 0 V	 3.99283 uA	 -1.827 pA	 399.2830000 nA/um	 -182.7000000 fA/um	 1.103000000 uS	 110.3000000 nS/um
127	 4.3000 V	 0 V	 10.00 mV	 0 V	 4.05006 uA	 -1.822 pA	 405.0060000 nA/um	 -182.2000000 fA/um	 1.113600000 uS	 111.3600000 nS/um
128	 4.3500 V	 0 V	 10.00 mV	 0 V	 4.10419 uA	 -1.986 pA	 410.4190000 nA/um	 -198.6000000 fA/um	 1.077700000 uS	 107.7700000 nS/um
129	 4.4000 V	 0 V	 10.00 mV	 0 V	 4.15783 uA	 -1.668 pA	 415.7830000 nA/um	 -166.8000000 fA/um	 1.057600000 uS	 105.7600000 nS/um
130	 4.4500 V	 0 V	 10.00 mV	 0 V	 4.20995 uA	 -1.734 pA	 420.9950000 nA/um	 -173.4000000 fA/um	 1.046600000 uS	 104.6600000 nS/um
131	 4.5000 V	 0 V	 10.00 mV	 0 V	 4.26249 uA	 -1.744 pA	 426.2490000 nA/um	 -174.4000000 fA/um	 1.040500000 uS	 104.0500000 nS/um
132	 4.5500 V	 0 V	 10.00 mV	 0 V	 4.31400 uA	 -1.893 pA	 431.4000000 nA/um	 -189.3000000 fA/um	 1.020300000 uS	 102.0300000 nS/um
133	 4.6000 V	 0 V	 10.00 mV	 0 V	 4.36452 uA	 -1.969 pA	 436.4520000 nA/um	 -196.9000000 fA/um	 1.022900000 uS	 102.2900000 nS/um
134	 4.6500 V	 0 V	 10.00 mV	 0 V	 4.41629 uA	 -1.872 pA	 441.6290000 nA/um	 -187.2000000 fA/um	 1.019700000 uS	 101.9700000 nS/um
135	 4.7000 V	 0 V	 10.00 mV	 0 V	 4.46649 uA	 -2.415 pA	 446.6490000 nA/um	 -241.5000000 fA/um	 943.5000000 nS	 94.35000000 nS/um
136	 4.7500 V	 0 V	 10.00 mV	 0 V	 4.51064 uA	 -1.647 pA	 451.0640000 nA/um	 -164.7000000 fA/um	 932.8000000 nS	 93.28000000 nS/um
137	 4.8000 V	 0 V	 10.00 mV	 0 V	 4.55977 uA	 -1.769 pA	 455.9770000 nA/um	 -176.9000000 fA/um	 971.1000000 nS	 97.11000000 nS/um
138	 4.8500 V	 0 V	 10.00 mV	 0 V	 4.60775 uA	 -2.113 pA	 460.7750000 nA/um	 -211.3000000 fA/um	 944.1000000 nS	 94.41000000 nS/um
139	 4.9000 V	 0 V	 10.00 mV	 0 V	 4.65418 uA	 -1.997 pA	 465.4180000 nA/um	 -199.7000000 fA/um	 918.1000000 nS	 91.81000000 nS/um
140	 4.9500 V	 0 V	 10.00 mV	 0 V	 4.69956 uA	 -1.670 pA	 469.9560000 nA/um	 -167.0000000 fA/um	 895.6000000 nS	 89.56000000 nS/um
141	 5.0000 V	 0 V	 10.00 mV	 0 V	 4.74374 uA	 -1.909 pA	 474.3740000 nA/um	 -190.9000000 fA/um	 883.6000000 nS	 88.36000000 nS/um
142	 -2.0000 V	 0 V	 10.00 mV	 -500.00 mV	 55.414 pA	 -97.247 pA	 5.541400000 pA/um	 -9.724700000 pA/um	 2.720000000 pS	 272.0000000 fS/um
143	 -1.9500 V	 0 V	 10.00 mV	 -500.00 mV	 55.550 pA	 -95.646 pA	 5.555000000 pA/um	 -9.564600000 pA/um	 -4.780000000 pS	 -478.0000000 fS/um
144	 -1.9000 V	 0 V	 10.00 mV	 -500.00 mV	 54.936 pA	 -95.913 pA	 5.493600000 pA/um	 -9.591300000 pA/um	 -4.390000000 pS	 -439.0000000 fS/um
145	 -1.8500 V	 0 V	 10.00 mV	 -500.00 mV	 55.111 pA	 -94.882 pA	 5.511100000 pA/um	 -9.488200000 pA/um	 980.0000000 fS	 98.00000000 fS/um
146	 -1.8000 V	 0 V	 10.00 mV	 -500.00 mV	 55.034 pA	 -95.205 pA	 5.503400000 pA/um	 -9.520500000 pA/um	 1.310000000 pS	 131.0000000 fS/um
147	 -1.7500 V	 0 V	 10.00 mV	 -500.00 mV	 55.242 pA	 -95.619 pA	 5.524200000 pA/um	 -9.561900000 pA/um	 8.170000000 pS	 817.0000000 fS/um
148	 -1.7000 V	 0 V	 10.00 mV	 -500.00 mV	 55.851 pA	 -95.739 pA	 5.585100000 pA/um	 -9.573900000 pA/um	 8.490000000 pS	 849.0000000 fS/um
149	 -1.6500 V	 0 V	 10.00 mV	 -500.00 mV	 56.091 pA	 -96.907 pA	 5.609100000 pA/um	 -9.690700000 pA/um	 -1.040000000 pS	 -104.0000000 fS/um
150	 -1.6000 V	 0 V	 10.00 mV	 -500.00 mV	 55.747 pA	 -94.517 pA	 5.574700000 pA/um	 -9.451700000 pA/um	 -7.540000000 pS	 -754.0000000 fS/um
